NHLEMOB1457A,NHLEMOB1457A,30:E1:71:81:9F:37,,,,,,
NHLEMFQFPHRMPC,NHLEMFQFPHRMPC,14:B3:1F:2B:5C:F3,,,,,,
NHLEMQFKIOSK2,NHLEMQFKIOSK2,14:B3:1F:2B:4C:12,,,,,,
NHLEMQFKIOSK1,NHLEMQFKIOSK1,14:B3:1F:2B:48:BE,,,,,,
NHLEMQFKIOSK3,NHLEMQFKIOSK3,B8:85:84:B8:3C:2E,,,,,,
NHLEMFQFKIOSK1,NHLEMFQFKIOSK1,14:B3:1F:2B:5D:44,,,,,,
NHLEMQFLABMPC,NHLEMQFLABMPC,14:B3:1F:2B:48:9F,,,,,,
NHLEM-TBXBHDP2,NHLEM-TBXBHDP2,E4:7F:B2:F7:85:D4,,,,,,
NHLEM-TBXBHDP4,NHLEM-TBXBHDP4,E4:7F:B2:F7:85:C4,,,,,,
NHLEMFMHBHDP,NHLEMFMHBHDP,30:E1:71:80:30:DF,,,,,,
NHLEM-TBXBHDP1,NHLEM-TBXBHDP1,E4:7F:B2:F7:85:C5,,,,,,
NHLEM-TBXBHDP3,NHLEM-TBXBHDP3,E4:7F:B2:F7:85:BE,,,,,,
NHLEM-TBXBHDP5,NHLEM-TBXBHDP5,E4:7F:B2:F7:85:D5,,,,,,
NHLEMMHBHDP01,NHLEMMHBHDP01,E4:7F:B2:F7:85:D3,,,,,,
NHLEM-TB-XICE04,NHLEM-TB-XICE04,30:E1:71:7F:4F:95,,,,,,
NHLEMFFM126,NHLEMFFM126,64:51:06:4A:58:97,,,,,,
NHLEMFFLT414,NHLEMFFLT414,40:B0:34:F6:50:77,,,,,,
NHLEMFFM122,NHLEMFFM122,64:51:06:45:10:42,,,,,,
NHLEMFFM125,NHLEMFFM125,64:51:06:3D:3D:24,,,,,,
NHLEMFFLT415A,NHLEMFFLT415A,40:B0:34:FF:7D:3A,,,,,,
NHLEMFCSKIOSK1,NHLEMFCSKIOSK1,EC:8E:B5:7C:7A:C9,,,,,,
NHLEMFFM120,NHLEMFFM120,64:51:06:4A:58:8F,,,,,,
NHLEMFFM123,NHLEMFFM123,64:51:06:3D:34:EB,,,,,,
NHLEMFFM121,NHLEMFFM121,64:51:06:55:02:DE,,,,,,
NHLEMFFM124,NHLEMFFM124,64:51:06:3D:3F:08,,,,,,
NHLEMFFLT429A,NHLEMFFLT429A,64:51:06:4A:57:73,,,,,,
NHLEMFTWA07F,NHLEMFTWA07F,F0:D5:BF:FF:7A:8A,,,,,,
NHLEMTW051387,NHLEMTW051387,34:F3:9A:71:06:92,,,,,,
NHLEMTW051660,NHLEMTW051660,30:E1:71:89:78:DC,,,,,,
NHLEM-TB-XQA01,NHLEM-TB-XQA01,30:E1:71:7F:FC:8A,,,,,,
NHLEMMH1295A,NHLEMMH1295A,FC:45:96:21:14:D0,,,,,,
NHLEMIT2354A,NHLEMIT2354A,0C:C4:7A:91:9E:9A,,,,,,
NHLEMBDCSPR416A,NHLEMBDCSPR416A,30:E1:71:7A:71:7A,,,,,,
NHLEMUBO01B,NHLEMUBO01B,DC:4A:3E:55:59:74,,,,,,
NHLEMPT146B,NHLEMPT146B,30:E1:71:80:12:23,,,,,,
NHLEMMM1120G,NHLEMMM1120G,DC:4A:3E:55:59:4C,,,,,,
NHLEMBDCSPR416B,NHLEMBDCSPR416B,30:E1:71:81:5F:59,,,,,,
NHLEMFFLT405B,NHLEMFFLT405B,64:51:06:3D:3C:F2,,,,,,
NHLEMFIH421B,NHLEMFIH421B,64:51:06:3D:3D:08,,,,,,
NHLEMFDDS210A,NHLEMFDDS210A,40:B0:34:FF:7D:39,,,,,,
NHLEMFADM109,NHLEMFADM109,D8:9E:F3:4B:F1:A2,,,,,,
NHLEMFRAD407AA,NHLEMFRAD407AA,40:B0:34:FF:8B:70,,,,,,
NHLEMFDDS209A,NHLEMFDDS209A,54:BF:64:5B:D6:A4,,,,,,
NHLEMFPANOFAL,NHLEMFPANOFAL,D8:9E:F3:4B:F1:A4,,,,,,
NHLEMFLAB128B,NHLEMFLAB128B,64:51:06:55:02:B8,,,,,,
NHLEMFDDS212A,NHLEMFDDS212A,C4:34:6B:6E:BB:50,,,,,,
NHLEMFIMM435A,NHLEMFIMM435A,C4:34:6B:6E:B7:88,,,,,,
NHLEMFLAB128C,NHLEMFLAB128C,C4:34:6B:6E:BC:72,,,,,,
NHLEMFLAB128A,NHLEMFLAB128A,64:51:06:3D:3F:11,,,,,,
NHLEMFFM116,NHLEMFFM116,40:B0:34:F6:97:65,,,,,,
NHLEMFFM118,NHLEMFFM118,D8:9E:F3:4B:F0:3E,,,,,,
NHLEMFFM106B,NHLEMFFM106B,D8:9E:F3:4B:F0:14,,,,,,
NHLEMFIH421A,NHLEMFIH421A,C8:D3:FF:A8:8B:5A,,,,,,
NHLEMFFM115B,NHLEMFFM115B,C4:34:6B:6E:B7:89,,,,,,
NHLEMFFLT425,NHLEMFFLT425,30:E1:71:7F:2E:38,,,,,,
NHLEMFEDU324BB,NHLEMFEDU324BB,64:51:06:4A:58:99,,,,,,
